2f	3f	6f	4f	15f	8f	16f	9f	17f	10f	18f	11f	12f	13f	14f
seq167	0	0	0	0	0	0	0	0	825	0	571	173	0	0	0
seq168	0	10	3	0	0	0	0	0	188	54	41	519	515	78	5
seq171	127	0	0	31	0	0	0	0	0	0	0	0	0	0	0
seq172	59	0	0	0	0	0	0	0	25	0	1199	0	0	0	0
seq173	1553	0	0	0	0	0	0	0	0	0	0	0	0	0	0
seq174	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
seq176	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0
seq177	0	0	0	0	0	0	0	0	169	0	994	65	75	0	0
seq178	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0
seq179	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0
seq180	0	0	0	0	0	0	0	0	187	0	1050	0	0	0	0
seq181	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
seq182	0	0	0	152	0	0	0	0	0	0	0	0	0	0	0
seq183	0	0	0	0	0	0	0	0	0	0	63	965	0	0	0
seq184	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0
seq185	0	0	1223	0	0	0	0	0	0	0	0	0	0	0	0
seq187	0	0	0	55	0	0	0	0	19	0	0	0	0	0	0
seq188	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0
seq189	0	400	0	0	166	0	126	132	197	0	30	94	136	0	0
seq190	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
seq191	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0
seq192	0	0	0	20	0	0	0	0	3	0	0	0	0	0	0
seq193	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0
seq194	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0
seq195	0	0	0	0	0	0	0	0	0	0	0	0	506	0	845
seq196	92	18	22	0	19	8	108	79	55	13	195	192	15	233	66
seq197	0	690	0	0	0	0	0	0	14	13	38	349	74	0	0
seq198	232	0	0	0	0	0	0	0	589	0	366	59	0	0	0
seq199	0	0	1115	0	0	0	0	0	0	0	0	0	0	0	0
seq200	0	1159	0	0	0	0	0	0	0	0	0	0	75	0	0
seq201	0	0	1097	0	0	0	0	0	0	0	0	0	0	0	0
seq203	120	50	0	0	150	441	126	113	0	13	0	109	129	0	0
seq204	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0
seq205	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0
seq207	0	0	0	0	0	0	0	0	282	0	653	0	0	0	0
seq208	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0
seq209	0	0	0	0	0	0	0	0	0	0	0	0	1078	0	0
seq211	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0
seq213	180	53	228	0	69	51	228	144	64	12	46	13	0	11	0
seq214	515	0	58	0	0	0	0	375	0	69	0	0	0	0	0
seq215	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0
seq216	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0
seq218	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0
seq219	0	0	0	166	0	0	0	0	0	0	0	0	0	0	0
seq220	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
seq221	0	0	864	0	0	0	0	0	157	0	0	0	0	0	0
seq222	0	0	0	0	0	0	0	0	0	0	0	0	1025	0	0
seq224	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
seq227	4	0	0	0	503	58	0	13	0	0	15	146	99	0	0
seq228	0	0	0	0	0	0	0	0	0	0	0	0	0	770	0
seq229	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0
seq230	0	0	0	0	0	0	0	0	476	25	487	0	0	26	0
seq231	0	0	0	176	0	0	0	0	8	0	0	0	0	0	0
seq232	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0
seq233	0	0	0	0	428	0	0	0	141	0	105	34	162	6	8
seq234	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0
seq235	15	11	8	0	150	0	32	42	148	0	70	212	29	83	0
seq236	0	0	0	428	0	0	0	0	0	0	0	0	0	0	0
seq237	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0
seq239	0	0	0	0	0	156	0	0	0	962	0	0	0	0	0
seq240	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0
seq243	0	0	0	117	0	0	0	0	0	0	0	0	0	0	0
seq244	79	0	125	0	73	97	190	62	26	11	0	0	14	4	27
seq246	0	0	0	0	396	0	35	15	214	0	55	36	11	7	2
seq247	31	8	6	0	206	0	121	0	154	0	84	93	0	84	28
seq248	0	0	0	0	0	0	0	0	0	118	0	0	94	202	468
seq249	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0
seq250	23	0	5	0	0	0	0	0	228	5	267	44	0	201	32
seq251	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
seq252	0	0	11	0	272	72	23	60	79	0	78	148	9	0	0
seq254	0	0	16	0	474	0	30	0	74	0	78	46	0	0	0
seq256	0	39	0	0	294	728	0	0	0	0	0	0	5	31	11
seq257	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
seq258	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
seq259	0	0	0	0	0	0	0	0	0	0	44	578	0	0	0
seq260	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0
seq261	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0
seq262	11	0	0	0	208	0	92	0	111	0	49	135	6	74	33
seq263	0	0	0	0	0	0	0	0	0	0	662	0	0	0	0
seq265	0	0	0	0	0	6	352	96	26	23	0	55	14	97	0
seq266	0	0	0	0	0	0	0	0	0	905	0	0	0	14	0
seq267	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
seq268	0	0	0	798	0	0	0	0	0	0	0	0	0	0	0
seq270	64	16	0	0	31	0	205	52	0	31	35	53	0	147	44
seq271	15	0	17	0	106	7	43	0	160	15	180	35	22	52	15
seq274	0	0	0	0	118	0	0	37	200	0	135	125	65	0	0
seq276	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0
seq277	594	0	0	18	0	0	0	0	0	0	0	0	0	0	0
seq279	0	0	0	0	0	0	6	0	69	0	133	269	108	0	0
seq280	0	0	0	340	0	0	0	0	0	0	0	0	0	0	0
seq282	0	0	99	0	0	0	0	0	644	0	82	0	0	0	0
seq283	0	0	0	0	0	1037	0	80	0	0	0	0	0	0	0
seq284	0	0	0	0	104	0	64	89	197	0	143	9	77	0	0
seq285	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0
seq286	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
seq288	55	0	238	0	0	0	0	78	0	38	0	0	0	148	42
seq289	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0
seq290	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0
seq291	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
seq294	0	655	0	0	0	0	0	0	0	5	0	0	0	0	0
seq295	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0
seq296	0	0	0	0	0	0	0	0	99	0	470	0	0	0	0
seq297	13	381	0	0	0	94	5	0	0	4	21	109	0	8	0
seq298	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0
seq299	0	0	0	0	0	0	0	201	0	112	0	0	0	125	161
seq300	0	0	0	24	0	0	0	0	6	0	0	0	0	0	0
seq301	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0
seq302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	727
seq303	5	5	0	0	108	0	47	48	58	24	55	141	0	20	8
seq304	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0
seq305	0	0	0	0	0	0	0	0	0	685	0	0	0	0	0
seq308	134	28	8	0	27	67	31	24	22	0	38	176	0	16	14
seq309	0	0	0	0	20	0	0	0	94	24	86	159	0	0	0
seq310	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0
seq311	0	0	0	0	33	0	0	0	530	0	19	0	18	48	26
seq312	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0
seq313	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
seq314	0	0	0	78	0	0	0	0	0	236	0	0	0	0	0
seq315	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0
seq316	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0
seq317	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0
seq318	0	0	0	0	0	451	0	0	0	0	0	153	0	0	0
seq320	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0
seq321	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0
seq322	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0
seq323	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0
seq324	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0
seq326	127	0	0	0	328	0	0	0	0	0	0	0	0	0	0
seq328	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0
seq329	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
seq330	0	0	0	60	0	0	0	0	0	0	0	0	0	0	0
seq331	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
seq334	158	0	84	0	110	0	18	60	30	0	0	0	0	0	0
seq335	0	0	0	0	0	0	0	0	655	0	0	0	0	0	0
seq336	0	394	0	0	0	0	0	0	0	0	0	79	0	0	6
seq337	0	531	0	0	0	0	0	0	0	0	0	0	0	0	0
seq338	0	0	0	0	149	0	13	9	162	0	62	57	0	0	0
seq339	0	0	0	0	0	499	0	0	0	0	0	0	0	0	0
seq340	0	0	0	0	0	0	0	0	0	547	0	0	24	0	0
seq342	0	0	0	0	0	424	0	61	0	17	0	24	0	64	47
seq344	29	0	0	0	49	0	110	0	59	0	105	62	0	29	8
seq345	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0
seq347	0	0	0	19	0	0	0	0	17	0	0	0	0	0	0
seq350	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0
seq352	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0
seq353	0	0	0	0	0	0	0	0	360	0	140	17	0	0	0
seq355	0	0	5	61	0	0	0	0	0	6	0	0	0	0	0
seq357	0	0	0	0	0	0	90	0	0	0	0	268	0	0	0
seq358	0	0	0	0	0	0	0	0	0	0	0	0	0	342	0
seq360	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
seq361	0	0	9	0	70	118	26	23	62	22	54	9	38	33	0
seq362	0	0	0	324	0	0	0	0	0	0	0	0	0	0	0
seq363	0	39	0	0	0	0	0	0	167	0	228	0	0	0	0
seq364	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0
seq365	435	0	0	0	0	0	0	12	0	0	0	0	0	0	0
seq367	11	0	0	0	28	0	0	0	130	0	147	31	22	18	0
seq368	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0
seq373	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0
seq374	0	0	0	382	0	0	0	0	0	0	0	0	0	0	0
seq375	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0
seq376	0	0	0	0	0	0	0	0	0	295	0	0	0	0	0
seq377	14	0	0	0	24	0	181	0	0	0	0	49	7	39	83
seq379	0	0	0	0	170	176	91	0	0	0	0	0	0	0	0
seq380	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0
seq382	0	0	0	0	0	0	0	0	0	195	0	0	0	122	83
seq383	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0
seq385	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
seq386	0	0	354	0	0	0	0	0	0	0	0	0	0	0	0
seq387	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
seq390	0	2	0	0	55	0	50	0	0	0	175	0	76	0	0
seq391	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0
seq392	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0
seq393	0	0	0	0	0	0	0	0	0	0	0	0	0	270	29
seq394	0	382	0	0	0	0	0	0	0	0	0	0	0	0	0
seq395	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0
seq396	47	0	0	0	229	0	0	0	0	0	40	0	0	0	0
seq397	190	0	53	0	0	0	0	40	0	30	0	0	0	32	11
seq398	0	0	214	0	0	0	0	0	0	0	0	0	0	67	49
seq400	0	0	0	0	0	682	0	0	0	0	0	0	0	0	0
seq402	0	13	0	0	0	0	0	0	0	0	0	0	304	0	0
seq404	0	0	288	0	0	0	0	0	9	0	0	0	42	0	0
seq405	0	0	0	0	0	0	0	56	99	9	120	0	0	25	5
seq407	0	0	0	0	0	655	0	0	0	0	0	0	0	0	0
seq409	0	0	0	0	0	0	0	0	0	0	0	0	328	0	0
seq411	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0
seq412	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
seq413	0	0	0	0	0	0	0	0	0	144	4	0	178	0	16
seq415	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0
seq416	0	0	0	53	0	0	0	0	0	0	0	0	0	0	0
seq418	17	0	0	0	136	0	39	0	30	0	49	12	0	14	13
seq419	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0
seq420	0	34	0	0	0	0	0	0	0	0	210	14	11	0	0
seq421	0	0	0	141	0	0	0	0	0	0	0	0	0	0	0
seq422	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0
seq426	0	0	0	0	0	0	0	0	0	0	0	0	0	155	165
seq427	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0
seq428	0	0	0	0	229	0	11	0	24	0	0	20	0	0	0
seq429	0	0	0	0	90	0	8	0	88	0	55	41	7	5	0
seq431	181	0	41	0	16	19	1	5	26	8	0	0	0	26	19
seq432	0	0	0	0	71	0	16	18	70	4	82	26	5	0	0
seq436	48	52	47	0	52	0	60	0	0	0	0	0	47	0	52
seq437	0	0	0	89	0	0	0	0	0	0	0	0	0	0	0
seq438	0	0	0	0	270	0	0	0	0	0	0	0	0	0	0
seq439	0	0	0	0	207	0	61	0	0	0	0	0	0	0	0
seq441	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0
seq443	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0
seq445	9	11	16	0	16	0	0	73	63	0	83	0	0	0	5
seq447	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0
seq448	0	0	0	0	0	0	0	18	193	0	0	51	20	38	0
seq449	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0
seq451	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0
seq454	0	0	0	0	0	0	0	0	0	0	0	240	0	0	0
seq456	0	0	0	0	0	0	0	0	0	0	0	0	54	0	282
seq458	8	0	0	0	71	0	2	0	103	0	93	17	0	0	0
seq459	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0
seq460	12	11	8	0	74	0	17	0	48	10	37	17	22	12	6
seq461	0	0	0	0	0	0	0	0	0	332	0	0	0	0	0
seq462	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0
seq463	0	0	0	0	0	0	0	0	0	0	0	0	0	207	29
seq464	0	0	0	0	0	0	0	0	0	0	0	250	0	0	0
seq465	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0
seq466	0	287	0	0	0	0	0	0	0	0	0	0	0	7	0
seq469	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0
seq470	0	0	0	0	0	0	0	0	0	0	0	0	0	201	0
seq472	0	0	0	0	193	0	0	23	0	0	0	0	0	0	0
seq473	0	0	0	0	0	0	0	0	76	0	172	0	0	0	0
seq474	0	0	0	165	0	0	0	0	0	0	0	0	0	0	0
seq475	246	0	0	0	0	0	0	0	0	0	9	0	0	0	0
seq476	0	0	241	0	0	0	0	0	0	0	0	0	0	0	0
seq477	0	0	0	0	176	0	63	0	0	0	0	0	0	0	0
seq478	48	0	4	0	46	0	0	5	24	3	39	14	0	39	18
seq479	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
seq482	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0
seq483	0	0	0	0	0	0	0	0	0	0	0	0	249	0	0
seq484	0	0	0	0	0	0	0	0	0	0	0	0	0	175	0
seq485	0	0	72	0	106	0	0	0	49	0	0	0	0	0	0
seq486	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0
seq488	0	0	0	0	0	0	0	158	0	68	0	0	0	0	0
seq489	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0
seq490	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0
seq491	0	0	0	56	0	0	0	0	0	0	0	0	0	0	0
seq492	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0
seq493	0	0	0	0	0	0	0	0	87	0	144	0	0	0	0
seq494	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0
seq496	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0
seq500	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0
seq501	0	246	0	0	0	0	0	0	0	0	0	0	0	0	0
seq502	0	0	0	236	0	0	0	0	0	0	0	0	0	0	0
seq503	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0
seq505	56	12	13	0	10	0	22	5	17	0	33	39	6	5	0
seq506	0	0	5	0	45	0	64	0	51	0	44	0	0	0	0
